cell_type	region
GABA_CGE_DFC	DFC
GABA_MGE_CAP	CaH
GABA_MGE_DFC	DFC
MSN_D1_matrix	CaH
MSN_D1_striosome	CaH
MSN_D2_matrix	CaH
MSN_D2_striosome	CaH
OPC	CaH
OPC	DFC
astrocyte	CaH
astrocyte	DFC
glutamatergic_L23IT	DFC
glutamatergic_L5IT	DFC
microglia	CaH
microglia	DFC
oligodendrocyte	CaH
oligodendrocyte	DFC
