label,name,cluster_annotation_term_set_label,cluster_annotation_term_set_name,color_hex_triplet,term_order,term_set_order,parent_term_label,parent_term_name,parent_term_set_label
CS20250428_SUBCL_0018,Macrophage,CCN20250428_LEVEL_2,Subclass,#566c21,4,2,CS20250428_CLASS_0008,Immune,CCN20250428_LEVEL_1
CS20250428_SUBCL_0015,Lymphocyte,CCN20250428_LEVEL_2,Subclass,#aa66d4,5,2,CS20250428_CLASS_0008,Immune,CCN20250428_LEVEL_1
CS20250428_SUBCL_0038,Monocyte,CCN20250428_LEVEL_2,Subclass,#91132c,6,2,CS20250428_CLASS_0008,Immune,CCN20250428_LEVEL_1
CS20250428_SUBCL_0022,Oligodendrocyte,CCN20250428_LEVEL_2,Subclass,#def476,7,2,CS20250428_CLASS_0010,OPC-Oligo,CCN20250428_LEVEL_1
CS20250428_SUBCL_0020,OPC,CCN20250428_LEVEL_2,Subclass,#c68ae4,8,2,CS20250428_CLASS_0010,OPC-Oligo,CCN20250428_LEVEL_1
CS20250428_SUBCL_0010,COP,CCN20250428_LEVEL_2,Subclass,#e3cba4,9,2,CS20250428_CLASS_0010,OPC-Oligo,CCN20250428_LEVEL_1
CS20250428_SUBCL_0011,Endo,CCN20250428_LEVEL_2,Subclass,#f6390c,10,2,CS20250428_CLASS_0011,Vascular,CCN20250428_LEVEL_1
CS20250428_SUBCL_0023,Pericyte,CCN20250428_LEVEL_2,Subclass,#51cd80,11,2,CS20250428_CLASS_0011,Vascular,CCN20250428_LEVEL_1
CS20250428_SUBCL_0024,SMC,CCN20250428_LEVEL_2,Subclass,#ab0c8d,12,2,CS20250428_CLASS_0011,Vascular,CCN20250428_LEVEL_1
CS20250428_SUBCL_0035,VLMC,CCN20250428_LEVEL_2,Subclass,#226a65,13,2,CS20250428_CLASS_0011,Vascular,CCN20250428_LEVEL_1
CS20250428_SUBCL_0013,F Glut,CCN20250428_LEVEL_2,Subclass,#39e1e2,14,2,CS20250428_CLASS_0007,F M Glut,CCN20250428_LEVEL_1
CS20250428_SUBCL_0017,F M Glut,CCN20250428_LEVEL_2,Subclass,#66750b,15,2,CS20250428_CLASS_0007,F M Glut,CCN20250428_LEVEL_1
CS20250428_SUBCL_0025,M Dopa,CCN20250428_LEVEL_2,Subclass,#77f0ca,16,2,CS20250428_CLASS_0009,M Dopa,CCN20250428_LEVEL_1
CS20250428_SUBCL_0003,CN LAMP5-LHX6 GABA,CCN20250428_LEVEL_2,Subclass,#f48d44,17,2,CS20250428_CLASS_0005,CN MGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0008,CN ST18 GABA,CCN20250428_LEVEL_2,Subclass,#5fd989,18,2,CS20250428_CLASS_0005,CN MGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0033,STR SST-CHODL GABA,CCN20250428_LEVEL_2,Subclass,#eea495,19,2,CS20250428_CLASS_0005,CN MGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0032,STR SST GABA,CCN20250428_LEVEL_2,Subclass,#ed8d40,20,2,CS20250428_CLASS_0005,CN MGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0031,STR RSPO2 GABA,CCN20250428_LEVEL_2,Subclass,#5b0e63,21,2,CS20250428_CLASS_0005,CN MGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0001,CN Cholinergic GABA,CCN20250428_LEVEL_2,Subclass,#b1f081,22,2,CS20250428_CLASS_0005,CN MGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0002,CN LAMP5-CXCL14 GABA,CCN20250428_LEVEL_2,Subclass,#e5b672,23,2,CS20250428_CLASS_0001,CN CGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0009,CN VIP GABA,CCN20250428_LEVEL_2,Subclass,#1bc06a,24,2,CS20250428_CLASS_0001,CN CGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0005,CN LHX8 GABA,CCN20250428_LEVEL_2,Subclass,#caf28b,25,2,CS20250428_CLASS_0006,F M GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0007,CN ONECUT1 GABA,CCN20250428_LEVEL_2,Subclass,#967be5,26,2,CS20250428_CLASS_0006,F M GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0016,F M GATA3 GABA,CCN20250428_LEVEL_2,Subclass,#311a96,27,2,CS20250428_CLASS_0006,F M GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0026,SN PAX7 GABA,CCN20250428_LEVEL_2,Subclass,#720a7d,28,2,CS20250428_CLASS_0006,F M GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0037,F GABA,CCN20250428_LEVEL_2,Subclass,#7ba2df,29,2,CS20250428_CLASS_0006,F M GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0006,CN MEIS2 GABA,CCN20250428_LEVEL_2,Subclass,#d8f378,30,2,CS20250428_CLASS_0003,CN LGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0028,STR D1 MSN,CCN20250428_LEVEL_2,Subclass,#1655f2,31,2,CS20250428_CLASS_0003,CN LGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0029,STR D2 MSN,CCN20250428_LEVEL_2,Subclass,#253c8c,32,2,CS20250428_CLASS_0003,CN LGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0030,STR Hybrid MSN,CCN20250428_LEVEL_2,Subclass,#79bdf4,33,2,CS20250428_CLASS_0003,CN LGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0021,OT Granular GABA,CCN20250428_LEVEL_2,Subclass,#9160cb,34,2,CS20250428_CLASS_0003,CN LGE GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0036,ACx MEIS2 GABA,CCN20250428_LEVEL_2,Subclass,#3636ed,35,2,CS20250428_CLASS_0012,Cx GABA,CCN20250428_LEVEL_1
CS20250428_SUBCL_0014,CN GABA-Glut,CCN20250428_LEVEL_2,Subclass,#d2599a,36,2,CS20250428_CLASS_0002,CN GABA-Glut,CCN20250428_LEVEL_1
CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3,Group,#e16c95,1,3,CS20250428_SUBCL_0000,Astrocyte,CCN20250428_LEVEL_2
CS20250428_GROUP_0017,ImAstro,CCN20250428_LEVEL_3,Group,#f1c0a6,2,3,CS20250428_SUBCL_0000,Astrocyte,CCN20250428_LEVEL_2
CS20250428_GROUP_0012,Ependymal,CCN20250428_LEVEL_3,Group,#c96e0a,3,3,CS20250428_SUBCL_0012,Ependymal,CCN20250428_LEVEL_2
CS20250428_GROUP_0019,Microglia,CCN20250428_LEVEL_3,Group,#cbfc1e,4,3,CS20250428_SUBCL_0019,Microglia,CCN20250428_LEVEL_2
CS20250428_GROUP_0001,BAM,CCN20250428_LEVEL_3,Group,#195f8d,5,3,CS20250428_SUBCL_0018,Macrophage,CCN20250428_LEVEL_2
CS20250428_GROUP_0059,T cells,CCN20250428_LEVEL_3,Group,#f3b79b,6,3,CS20250428_SUBCL_0015,Lymphocyte,CCN20250428_LEVEL_2
CS20250428_GROUP_0000,B cells,CCN20250428_LEVEL_3,Group,#21eef1,7,3,CS20250428_SUBCL_0015,Lymphocyte,CCN20250428_LEVEL_2
CS20250428_GROUP_0022,Monocyte,CCN20250428_LEVEL_3,Group,#48e6b4,8,3,CS20250428_SUBCL_0038,Monocyte,CCN20250428_LEVEL_2
CS20250428_GROUP_0025,Oligo OPALIN,CCN20250428_LEVEL_3,Group,#488edc,9,3,CS20250428_SUBCL_0022,Oligodendrocyte,CCN20250428_LEVEL_2
CS20250428_GROUP_0026,Oligo PLEKHG1,CCN20250428_LEVEL_3,Group,#401e66,10,3,CS20250428_SUBCL_0022,Oligodendrocyte,CCN20250428_LEVEL_2
CS20250428_GROUP_0018,ImOligo,CCN20250428_LEVEL_3,Group,#711c24,11,3,CS20250428_SUBCL_0022,Oligodendrocyte,CCN20250428_LEVEL_2
CS20250428_GROUP_0023,OPC,CCN20250428_LEVEL_3,Group,#f5e689,12,3,CS20250428_SUBCL_0020,OPC,CCN20250428_LEVEL_2
CS20250428_GROUP_0009,COP,CCN20250428_LEVEL_3,Group,#922047,13,3,CS20250428_SUBCL_0010,COP,CCN20250428_LEVEL_2
CS20250428_GROUP_0011,Endo,CCN20250428_LEVEL_3,Group,#361d61,14,3,CS20250428_SUBCL_0011,Endo,CCN20250428_LEVEL_2
CS20250428_GROUP_0027,Pericyte,CCN20250428_LEVEL_3,Group,#5713c3,15,3,CS20250428_SUBCL_0023,Pericyte,CCN20250428_LEVEL_2
CS20250428_GROUP_0028,SMC,CCN20250428_LEVEL_3,Group,#177242,16,3,CS20250428_SUBCL_0024,SMC,CCN20250428_LEVEL_2
CS20250428_GROUP_0062,VLMC,CCN20250428_LEVEL_3,Group,#c3ec86,17,3,CS20250428_SUBCL_0035,VLMC,CCN20250428_LEVEL_2
CS20250428_GROUP_0038,STH PVALB-PITX2 Glut,CCN20250428_LEVEL_3,Group,#f57e20,18,3,CS20250428_SUBCL_0013,F Glut,CCN20250428_LEVEL_2
CS20250428_GROUP_0008,BF SKOR1 Glut,CCN20250428_LEVEL_3,Group,#eb0077,19,3,CS20250428_SUBCL_0013,F Glut,CCN20250428_LEVEL_2
CS20250428_GROUP_0064,VTR-HTH Glut,CCN20250428_LEVEL_3,Group,#54621f,21,3,CS20250428_SUBCL_0017,F M Glut,CCN20250428_LEVEL_2
CS20250428_GROUP_0029,SN-VTR CALB1 Dopa,CCN20250428_LEVEL_3,Group,#854098,22,3,CS20250428_SUBCL_0025,M Dopa,CCN20250428_LEVEL_2
CS20250428_GROUP_0035,SN SOX6 Dopa,CCN20250428_LEVEL_3,Group,#854098,23,3,CS20250428_SUBCL_0025,M Dopa,CCN20250428_LEVEL_2
CS20250428_GROUP_0031,SN-VTR GAD2 Dopa,CCN20250428_LEVEL_3,Group,#854098,24,3,CS20250428_SUBCL_0025,M Dopa,CCN20250428_LEVEL_2
CS20250428_GROUP_0005,LAMP5-LHX6 GABA,CCN20250428_LEVEL_3,Group,#00af88,25,3,CS20250428_SUBCL_0003,CN LAMP5-LHX6 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0046,STR-BF TAC3-PLPP4-LHX8 GABA,CCN20250428_LEVEL_3,Group,#9d3b4f,26,3,CS20250428_SUBCL_0008,CN ST18 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0045,STR TAC3-PLPP4 GABA,CCN20250428_LEVEL_3,Group,#ffff00,27,3,CS20250428_SUBCL_0008,CN ST18 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0040,STR FS PTHLH-PVALB GABA,CCN20250428_LEVEL_3,Group,#800000,28,3,CS20250428_SUBCL_0008,CN ST18 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0043,STR SST-CHODL GABA,CCN20250428_LEVEL_3,Group,#708297,29,3,CS20250428_SUBCL_0033,STR SST-CHODL GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0042,STR SST-ADARB2 GABA,CCN20250428_LEVEL_3,Group,#cfebed,30,3,CS20250428_SUBCL_0032,STR SST GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0044,STR SST-RSPO2 GABA,CCN20250428_LEVEL_3,Group,#7f7f7f,31,3,CS20250428_SUBCL_0031,STR RSPO2 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0041,STR LYPD6-RSPO2 GABA,CCN20250428_LEVEL_3,Group,#a9f266,32,3,CS20250428_SUBCL_0031,STR RSPO2 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0048,STRd Cholinergic GABA,CCN20250428_LEVEL_3,Group,#6fc7b2,33,3,CS20250428_SUBCL_0001,CN Cholinergic GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0055,STR Cholinergic GABA,CCN20250428_LEVEL_3,Group,#8f5ff5,34,3,CS20250428_SUBCL_0001,CN Cholinergic GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0003,GPin-BF Cholinergic GABA,CCN20250428_LEVEL_3,Group,#fde020,35,3,CS20250428_SUBCL_0001,CN Cholinergic GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0004,LAMP5-CXCL14 GABA,CCN20250428_LEVEL_3,Group,#f6b5d1,36,3,CS20250428_SUBCL_0002,CN LAMP5-CXCL14 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0047,VIP GABA,CCN20250428_LEVEL_3,Group,#fc2b80,37,3,CS20250428_SUBCL_0009,CN VIP GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0014,GPe SOX6-CTXND1 GABA,CCN20250428_LEVEL_3,Group,#e9dc4d,38,3,CS20250428_SUBCL_0005,CN LHX8 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0020,GPe-NDB-SI LHX6-LHX8-GBX1 GABA,CCN20250428_LEVEL_3,Group,#653614,39,3,CS20250428_SUBCL_0005,CN LHX8 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0015,GPi Core,CCN20250428_LEVEL_3,Group,#d3489a,40,3,CS20250428_SUBCL_0007,CN ONECUT1 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0033,SN GATA3-PVALB GABA,CCN20250428_LEVEL_3,Group,#017d7c,41,3,CS20250428_SUBCL_0016,F M GATA3 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0032,SN GATA3-PAX8 GABA,CCN20250428_LEVEL_3,Group,#ff7266,42,3,CS20250428_SUBCL_0016,F M GATA3 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0037,SN-VTR-HTH GATA3-TCF7L2 GABA,CCN20250428_LEVEL_3,Group,#1dbfcf,43,3,CS20250428_SUBCL_0016,F M GATA3 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0030,SN EBF2 GABA,CCN20250428_LEVEL_3,Group,#c8df45,44,3,CS20250428_SUBCL_0026,SN PAX7 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0034,SN SEMA5A GABA,CCN20250428_LEVEL_3,Group,#3604fb,45,3,CS20250428_SUBCL_0026,SN PAX7 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0063,ZI-HTH GABA,CCN20250428_LEVEL_3,Group,#c49c94,46,3,CS20250428_SUBCL_0037,F GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0065,AMY-SLEA-BNST D1 GABA,CCN20250428_LEVEL_3,Group,#9e86de,47,3,CS20250428_SUBCL_0037,F GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0066,AMY-SLEA-BNST GABA,CCN20250428_LEVEL_3,Group,#b69e14,48,3,CS20250428_SUBCL_0037,F GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0013,GPe MEIS2-SOX6 GABA,CCN20250428_LEVEL_3,Group,#937a2e,49,3,CS20250428_SUBCL_0006,CN MEIS2 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0049,STRd D1 Matrix MSN,CCN20250428_LEVEL_3,Group,#1f77b4,50,3,CS20250428_SUBCL_0028,STR D1 MSN,CCN20250428_LEVEL_2
CS20250428_GROUP_0056,STRv D1 MSN,CCN20250428_LEVEL_3,Group,#339933,51,3,CS20250428_SUBCL_0028,STR D1 MSN,CCN20250428_LEVEL_2
CS20250428_GROUP_0050,STRd D1 Striosome MSN,CCN20250428_LEVEL_3,Group,#d62728,52,3,CS20250428_SUBCL_0028,STR D1 MSN,CCN20250428_LEVEL_2
CS20250428_GROUP_0052,STRd D2 Matrix MSN,CCN20250428_LEVEL_3,Group,#aec7e8,53,3,CS20250428_SUBCL_0029,STR D2 MSN,CCN20250428_LEVEL_2
CS20250428_GROUP_0058,STRv D2 MSN,CCN20250428_LEVEL_3,Group,#98df8a,54,3,CS20250428_SUBCL_0029,STR D2 MSN,CCN20250428_LEVEL_2
CS20250428_GROUP_0054,STRd D2 Striosome MSN,CCN20250428_LEVEL_3,Group,#ff9896,55,3,CS20250428_SUBCL_0029,STR D2 MSN,CCN20250428_LEVEL_2
CS20250428_GROUP_0053,STRd D2 StrioMat Hybrid MSN,CCN20250428_LEVEL_3,Group,#9268ac,56,3,CS20250428_SUBCL_0029,STR D2 MSN,CCN20250428_LEVEL_2
CS20250428_GROUP_0057,STRv D1 NUDAP MSN,CCN20250428_LEVEL_3,Group,#e377c2,57,3,CS20250428_SUBCL_0030,STR Hybrid MSN,CCN20250428_LEVEL_2
CS20250428_GROUP_0051,STR D1D2 Hybrid MSN,CCN20250428_LEVEL_3,Group,#9467bd,58,3,CS20250428_SUBCL_0030,STR Hybrid MSN,CCN20250428_LEVEL_2
CS20250428_GROUP_0024,OT D1 ICj,CCN20250428_LEVEL_3,Group,#ff7f0e,59,3,CS20250428_SUBCL_0021,OT Granular GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0068,OB FRMD7 GABA,CCN20250428_LEVEL_3,Group,#cd0753,60,3,CS20250428_SUBCL_0036,ACx MEIS2 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0067,OB Dopa-GABA,CCN20250428_LEVEL_3,Group,#902f6b,61,3,CS20250428_SUBCL_0036,ACx MEIS2 GABA,CCN20250428_LEVEL_2
CS20250428_GROUP_0016,GPi Shell,CCN20250428_LEVEL_3,Group,#642265,62,3,CS20250428_SUBCL_0014,CN GABA-Glut,CCN20250428_LEVEL_2
CS20250428_CLUST_0161,Human-143,CCN20250428_LEVEL_4,Cluster,#4ac0ed,0,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0162,Human-145,CCN20250428_LEVEL_4,Cluster,#8af851,1,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0163,Human-146,CCN20250428_LEVEL_4,Cluster,#d1dd68,2,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0164,Human-149,CCN20250428_LEVEL_4,Cluster,#95daf6,3,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0165,Human-150,CCN20250428_LEVEL_4,Cluster,#26827e,4,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0166,Human-152,CCN20250428_LEVEL_4,Cluster,#b2a030,5,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0167,Human-159,CCN20250428_LEVEL_4,Cluster,#e1706a,6,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0168,Human-160,CCN20250428_LEVEL_4,Cluster,#d0d47d,7,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0169,Human-450,CCN20250428_LEVEL_4,Cluster,#fc98a4,8,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0170,Human-452,CCN20250428_LEVEL_4,Cluster,#5874f7,9,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0171,Human-472,CCN20250428_LEVEL_4,Cluster,#66e7e2,10,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0248,Human-7,CCN20250428_LEVEL_4,Cluster,#fc29bf,11,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0249,Human-14,CCN20250428_LEVEL_4,Cluster,#238c7a,12,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0250,Human-28,CCN20250428_LEVEL_4,Cluster,#07e47b,13,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0251,Human-31,CCN20250428_LEVEL_4,Cluster,#972076,14,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0252,Human-227,CCN20250428_LEVEL_4,Cluster,#845910,15,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0253,Human-230,CCN20250428_LEVEL_4,Cluster,#096933,16,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0254,Human-231,CCN20250428_LEVEL_4,Cluster,#3534d4,17,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0255,Human-232,CCN20250428_LEVEL_4,Cluster,#89eab9,18,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0256,Human-479,CCN20250428_LEVEL_4,Cluster,#0aa5ae,19,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0257,Human-485,CCN20250428_LEVEL_4,Cluster,#b1063e,20,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0582,Macaque-231,CCN20250428_LEVEL_4,Cluster,#5afd90,21,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0583,Macaque-234,CCN20250428_LEVEL_4,Cluster,#d5816f,22,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0584,Macaque-235,CCN20250428_LEVEL_4,Cluster,#9f5a16,23,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0585,Macaque-236,CCN20250428_LEVEL_4,Cluster,#ad45d4,24,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0889,Macaque-232,CCN20250428_LEVEL_4,Cluster,#21e5fe,25,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0890,Macaque-233,CCN20250428_LEVEL_4,Cluster,#83d8d6,26,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_0891,Macaque-257,CCN20250428_LEVEL_4,Cluster,#7883da,27,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1470,Marmoset-507,CCN20250428_LEVEL_4,Cluster,#eea2dd,28,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1471,Marmoset-508,CCN20250428_LEVEL_4,Cluster,#093f8e,29,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1472,Marmoset-509,CCN20250428_LEVEL_4,Cluster,#d6a775,30,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1473,Marmoset-510,CCN20250428_LEVEL_4,Cluster,#f05468,31,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1474,Marmoset-511,CCN20250428_LEVEL_4,Cluster,#9a0fca,32,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1475,Marmoset-512,CCN20250428_LEVEL_4,Cluster,#d0f470,33,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1476,Marmoset-513,CCN20250428_LEVEL_4,Cluster,#cb2ad5,34,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1477,Marmoset-514,CCN20250428_LEVEL_4,Cluster,#69e6b2,35,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1478,Marmoset-515,CCN20250428_LEVEL_4,Cluster,#9c3de0,36,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1479,Marmoset-516,CCN20250428_LEVEL_4,Cluster,#9cc3ef,37,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1480,Marmoset-517,CCN20250428_LEVEL_4,Cluster,#2fa8b6,38,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1481,Marmoset-518,CCN20250428_LEVEL_4,Cluster,#8cce2a,39,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
CS20250428_CLUST_1482,Marmoset-519,CCN20250428_LEVEL_4,Cluster,#ce8afd,40,4,CS20250428_GROUP_0039,Astrocyte,CCN20250428_LEVEL_3
