label,name,cluster_annotation_term_set_label,cluster_annotation_term_set_name,color_hex_triplet,term_order,term_set_order,parent_term_label,parent_term_name,parent_term_set_label
CS20250428_NEIGH_0001,Nonneuron,CCN20250428_LEVEL_0,Neighborhood,#f2ca7d,1,0,,,
CS20250428_NEIGH_0000,Glut Sero Dopa,CCN20250428_LEVEL_0,Neighborhood,#91f4bb,2,0,,,
CS20250428_NEIGH_0002,Subpallium GABA,CCN20250428_LEVEL_0,Neighborhood,#19613b,3,0,,,
CS20250428_NEIGH_0003,Subpallium GABA-Glut,CCN20250428_LEVEL_0,Neighborhood,#7e1d19,4,0,,,
CS20250428_CLASS_0000,Astro-Epen,CCN20250428_LEVEL_1,Class,#6ec0da,1,1,CS20250428_NEIGH_0001,Nonneuron,CCN20250428_LEVEL_0
CS20250428_CLASS_0008,Immune,CCN20250428_LEVEL_1,Class,#aa6dec,2,1,CS20250428_NEIGH_0001,Nonneuron,CCN20250428_LEVEL_0
CS20250428_CLASS_0010,OPC-Oligo,CCN20250428_LEVEL_1,Class,#8605d4,3,1,CS20250428_NEIGH_0001,Nonneuron,CCN20250428_LEVEL_0
CS20250428_CLASS_0011,Vascular,CCN20250428_LEVEL_1,Class,#cba5ec,4,1,CS20250428_NEIGH_0001,Nonneuron,CCN20250428_LEVEL_0
CS20250428_CLASS_0007,F M Glut,CCN20250428_LEVEL_1,Class,#7d0f09,5,1,CS20250428_NEIGH_0000,Glut Sero Dopa,CCN20250428_LEVEL_0
CS20250428_CLASS_0009,M Dopa,CCN20250428_LEVEL_1,Class,#0433b4,6,1,CS20250428_NEIGH_0000,Glut Sero Dopa,CCN20250428_LEVEL_0
CS20250428_CLASS_0005,CN MGE GABA,CCN20250428_LEVEL_1,Class,#ce4c27,7,1,CS20250428_NEIGH_0002,Subpallium GABA,CCN20250428_LEVEL_0
CS20250428_CLASS_0001,CN CGE GABA,CCN20250428_LEVEL_1,Class,#26e8bb,8,1,CS20250428_NEIGH_0002,Subpallium GABA,CCN20250428_LEVEL_0
CS20250428_CLASS_0006,F M GABA,CCN20250428_LEVEL_1,Class,#cd0f13,9,1,CS20250428_NEIGH_0002,Subpallium GABA,CCN20250428_LEVEL_0
CS20250428_CLASS_0003,CN LGE GABA,CCN20250428_LEVEL_1,Class,#d0b83c,10,1,CS20250428_NEIGH_0002,Subpallium GABA,CCN20250428_LEVEL_0
CS20250428_CLASS_0012,Cx GABA,CCN20250428_LEVEL_1,Class,#ebb3a7,11,1,CS20250428_NEIGH_0002,Subpallium GABA,CCN20250428_LEVEL_0
CS20250428_CLASS_0002,CN GABA-Glut,CCN20250428_LEVEL_1,Class,#1c8d83,12,1,CS20250428_NEIGH_0003,Subpallium GABA-Glut,CCN20250428_LEVEL_0
CS20250428_SUBCL_0000,Astrocyte,CCN20250428_LEVEL_2,Subclass,#604f15,1,2,CS20250428_CLASS_0000,Astro-Epen,CCN20250428_LEVEL_1
CS20250428_SUBCL_0012,Ependymal,CCN20250428_LEVEL_2,Subclass,#7f207a,2,2,CS20250428_CLASS_0000,Astro-Epen,CCN20250428_LEVEL_1
CS20250428_SUBCL_0019,Microglia,CCN20250428_LEVEL_2,Subclass,#761646,3,2,CS20250428_CLASS_0008,Immune,CCN20250428_LEVEL_1
